Treatment,Tank,Sample,Day,NH4,NO2,NO3NO2,PO4,Si,DOC
Mixed,1,1,11,0.52,0.1,2,0.23,11.45,1.12
Mixed,1,2,11,0.6,0.11,2.07,0.23,11.45,1.11
Mixed,2,1,11,0.88,0.11,2.08,0.24,11.53,1.11
Mixed,2,2,11,0.67,0.11,2.07,0.24,11.65,1.13
Mixed,3,1,11,0.49,0.1,1.95,0.23,11.56,1.1
Mixed,3,2,11,0.43,0.1,1.94,0.24,11.57,1.15
Mixed,4,1,11,0.48,0.1,1.92,0.24,11.55,1.2
Mixed,4,2,11,0.39,0.1,1.93,0.23,11.52,1.19
Pellets,1,1,11,0.15,0.1,1.66,0.22,11.26,1.17
Pellets,1,2,11,0.13,0.1,1.66,0.22,11.32,1.13
Pellets,2,1,11,0.19,0.1,1.63,0.23,10.86,1.11
Pellets,2,2,11,0.11,0.1,1.61,0.23,10.8,1.12
Pellets,3,1,11,0.13,0.09,1.5,0.22,11.15,1.14
Pellets,3,2,11,0.13,0.09,1.53,0.22,11.15,1.11
Pellets,4,1,11,0.2,0.11,1.63,0.2,10.48,1.16
Pellets,4,2,11,0.15,0.11,1.63,0.2,10.53,1.18
Dissolved_Coral,1,1,11,0.41,0.09,1.1,0.16,9.88,1.16
Dissolved_Coral,1,2,11,0.34,0.08,1.11,0.16,9.87,1.13
Dissolved_Coral,2,1,11,0.26,0.08,1.04,0.16,10.32,1.23
Dissolved_Coral,2,2,11,0.2,0.08,1.03,0.17,10.35,1.19
Dissolved_Coral,3,1,11,0.55,0.1,1.4,0.18,10.3,1.26
Dissolved_Coral,3,2,11,0.28,0.09,1.3,0.18,9.86,1.22
Dissolved_Coral,4,1,11,0.43,0.12,1.78,0.21,10.88,1.29
Dissolved_Coral,4,2,11,0.38,0.11,1.77,0.21,10.79,1.23
LiveFeeds,1,1,11,0.19,0.09,1.5,0.21,10.78,1.14
LiveFeeds,1,2,11,0.08,0.09,1.51,0.23,10.79,1.16
LiveFeeds,2,1,11,0.12,0.09,1.7,0.24,11.33,1.14
LiveFeeds,2,2,11,0.09,0.09,1.69,0.23,11.33,1.12
LiveFeeds,3,1,11,0.15,0.07,1,0.2,9.87,1.19
LiveFeeds,3,2,11,0.09,0.07,1.01,0.18,9.93,1.19
